ocid,tender/id,tender/title,buyer/name,tenderclassification/description,tender/procurementMethod,amount,num_tenderers,duration_days,flag_single_bidder,flag_zero_bidders,flag_short_window,flag_non_open,flag_high_value,flag_buyer_concentration,flag_round_amount,ml_anomaly_flag,anomaly_score,risk_score,risk_tier,risk_explanation
ocds-kjhdrl-2016_PWBNH_1052_1,2016_PWBNH_1052_1,Consultancy Services for Construction of Fakhruddin Ali Ahmed Medical College at Barpeta (Phase-II) under AIFA during the year 2016-17,Public Works Building and NH Department,Consultancy,Open Tender,2206100000.0,1,180,1,0,0,0,1,0,1,1,0.8615090873213614,55.42,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_PHED_2574_1,2017_PHED_2574_1,IMPLEMENTATION_OF_PWSS,Public Health Engineering Department,Civil Works - Water Works,Open Tender,158579000.0,1,60,1,0,0,0,1,1,0,1,0.5016440580024677,53.89,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); Contract value above 95th percentile for this category; This buyer dominates >70% of contracts in this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_SWD_1030_1,2016_SWD_1030_1,Rice based Micronutrient Fortified Energy Densed Food,Social Welfare Department,Food Products,Open Tender,435703950.0,0,90,0,1,0,0,1,1,0,1,0.6938831724413183,52.91,🟡 Medium,No bidders recorded (may be pre-awarded); Contract value above 95th percentile for this category; This buyer dominates >70% of contracts in this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_ICD_1190_1,2016_ICD_1190_1,HDD of Safrai and Deroi River,Industries and Commerce Department,Pipe Laying Works,Open Tender,14800000.0,1,360,1,0,0,0,0,1,1,1,0.44783981772620773,49.22,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1262_1,2016_HFWD_1262_1,SUPPLY AND INSTALLATION OF ENT MINOR OT EQUIPMENTS for GMCH.,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,1200000.0,1,365,1,0,0,0,0,1,1,1,0.44273952018554463,49.14,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1122_1,2016_HFWD_1122_1,200 bedded cancer hospital item,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,5000.0,1,365,1,0,0,0,0,1,0,1,0.6607636025833924,48.55,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); This buyer dominates >70% of contracts in this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_RMSA_2864_1,2017_RMSA_2864_1,"e-Tender for Supply and Installation of School Furniture at the respective locations of Secondary Schools in the entire state of Assam under RMSA, Assam",Rashtriya Madhyamik Siksha Abhijan,Furniture/ Fixture,Open Tender,99000000.0,0,120,0,1,0,0,1,0,1,1,0.6004564061341089,47.64,🟡 Medium,No bidders recorded (may be pre-awarded); Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_PWBNH_1418_1,2016_PWBNH_1418_1,North Lakhimpur medical College_ Hospital,Public Works Building and NH Department,Civil Works - Building,Open Tender,1268911000.0,0,180,0,1,0,0,1,0,0,1,0.7832869185060312,46.52,🟡 Medium,No bidders recorded (may be pre-awarded); Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_NHM_1957_1,2017_NHM_1957_1,FOR ENTERING INTO RATE CONTRACT cum SUPPLY and EMPANELLMENT of DRUGS,National Health Mission,Medicines,Open Tender,2000000000.0,115,180,0,0,0,0,1,1,1,1,1.0,45.91,🟡 Medium,Contract value above 95th percentile for this category; This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_NHM_1486_1,2016_NHM_1486_1,RATE CONTRACT FOR SUPLY OF DRUGS,National Health Mission,Medicines,Open Tender,280000000.0,0,180,0,1,0,0,0,1,1,1,0.42384597985817474,44.99,🟡 Medium,No bidders recorded (may be pre-awarded); This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_PHED_2590_1,2017_PHED_2590_1,DESIGN AND EXECUTION OF WATER SUPPLY PROJECT,Public Health Engineering Department,Civil Works - Water Works,Open Tender,98836000.0,1,60,1,0,0,0,0,1,0,1,0.40169985930191976,44.66,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); This buyer dominates >70% of contracts in this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_DOT_945_1,2016_DOT_945_1,Development of Kamakhya Temple and Pilgrimage Destination in and around Guwahati under PRASAD,Department of Tourism,Civil Works - Building,Open Tender,326234374.0,1,180,1,0,0,0,1,0,0,1,0.398586116472347,44.62,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_ID_1186_1,2016_ID_1186_1,Singlacherra Flow Irrigation Scheme at Sonbeel area Balance work of cross regulator under A.I.B.P for the year 2009_10  under Karimganj Division I Karimganj,Irrigation Department,Civil Works - Others,Open Tender,109988000.0,1,180,1,0,0,0,1,0,0,1,0.3740641677514175,44.25,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_NHM_2000_1,2017_NHM_2000_1,Upgradation of existing Hamren SDCH to District Hospital in west Karbi Anglong District,National Health Mission,Civil Works - Building,Open Tender,237629000.0,1,180,1,0,0,0,1,0,0,1,0.3540922929823622,43.95,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_NHM_1998_1,2017_NHM_1998_1,Construction of District Hospital at Hojai in Hojai District,National Health Mission,Civil Works - Building,Open Tender,235576000.0,1,180,1,0,0,0,1,0,0,1,0.35334041108083136,43.94,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_DoWR_3704_1,2017_DoWR_3704_1,Construction of Sluice,Department of Water Resources,Civil Works,Open Tender,74253721.0,0,180,0,1,0,0,1,0,0,1,0.4322125398407112,41.26,🟡 Medium,No bidders recorded (may be pre-awarded); Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1323_3,2016_HFWD_1323_3,"Supply and Installation of Mammography machine at Jorhat Medical College and Hospital, Jorhat, Assam",Health and Family Welfare Department,Machineries,Open Tender,8000.0,1,365,1,0,0,0,0,0,0,1,0.6568107246273551,40.76,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1323_2,2016_HFWD_1323_2,"Supply and Installation of Mammography machine at Jorhat Medical College and Hospital, Jorhat, Assam",Health and Family Welfare Department,Machineries,Open Tender,8000.0,1,365,1,0,0,0,0,0,0,1,0.6568107246273551,40.76,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_HFWD_2594_1,2017_HFWD_2594_1,PATIENT DIET WITH CATERING SERVICES AT JMCH,Health and Family Welfare Department,Hotel/ Catering,Open Tender,8206496.5,0,365,0,1,0,0,0,1,0,1,0.35787159457025475,40.14,🟡 Medium,No bidders recorded (may be pre-awarded); This buyer dominates >70% of contracts in this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_HFWD_2489_45,2017_HFWD_2489_45,Supply and installation of Neurosurgery and Anaesthesia Equipments at JMCH,Health and Family Welfare Department,Machineries,Open Tender,95000000.0,0,365,0,1,0,0,0,0,1,1,0.6113710850834135,40.08,🟡 Medium,No bidders recorded (may be pre-awarded); Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_PWBNH_1236_1,2016_PWBNH_1236_1,Planetarium Equipments at Nalbari,Public Works Building and NH Department,Mechanical Engg Items,Global Tenders,29300000.0,1,180,1,0,0,1,0,1,1,0,0.09001089729669098,39.99,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); Non-open procurement method: Global Tenders; This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing)
ocds-kjhdrl-2016_SSA_1257_1,2016_SSA_1257_1,E-Tender for Hiring Godown,Axom Sarba Siksha Abhijan Mission,Miscellaneous Services,Open Tender,500000.0,1,90,1,0,0,0,0,0,1,1,0.3438574740204625,39.93,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_ICD_1129_1,2016_ICD_1129_1,"DIVERSION, MODIFICATION AND  RE-ROUTING OF PIPELINE",Industries and Commerce Department,Pipe Laying Works,Open Tender,20000000.0,3,540,0,0,0,0,1,1,1,1,0.5412627027605843,39.03,🟡 Medium,Contract value above 95th percentile for this category; This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_SSA_1504_1,2017_SSA_1504_1,INVITATION FOR TECHNICAL and  COMMERCIAL BIDS FOR SUPPLY OF STEEL CONTAINER,Axom Sarba Siksha Abhijan Mission,Stationery,Open Tender,42000000.0,12,90,0,0,0,0,1,1,1,1,0.42557592745213046,37.29,🟡 Medium,Contract value above 95th percentile for this category; This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1323_1,2016_HFWD_1323_1,NIT,Health and Family Welfare Department,Machineries,Open Tender,8000.0,0,365,0,1,0,0,0,0,0,1,0.6746402390561014,37.17,🟡 Medium,No bidders recorded (may be pre-awarded); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_DoWR_919_1,2016_DoWR_919_1,Bamunipam-Pk9,Department of Water Resources,Civil Works,Open Tender,62784.0,1,180,1,0,0,0,0,0,0,1,0.40246783679523723,36.95,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_NHM_939_1,2016_NHM_939_1,HIRING OF SERVICE PROVIDERS FOR BIOMEDICAL EQUIPMENT MAINTENANCE,National Health Mission,Repair and Maintenance Services,Open Tender,210000000.0,0,180,0,1,0,0,0,0,1,1,0.3712034424755113,36.48,🟡 Medium,No bidders recorded (may be pre-awarded); Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_PWBNH_1332_1,2016_PWBNH_1332_1,"ESTABLISHMENT OF NEW MEDICAL COLLEGE  ATTACHED  WITH DISTRICT REFERRAL HOSPITAL  AT NAGAON,  ASSAM",Public Works Building and NH Department,Civil Works - Building,Open Tender,1268900000.0,7,180,0,0,0,0,1,0,1,1,0.7709935677261436,34.75,🟡 Medium,Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_PWBNH_1308_1,2016_PWBNH_1308_1,ESTABLISHMENT OF NEW MEDICAL COLLEGE ATTACHED WITH DISTRICT_REFERRAL HOSPITAL AT DHUBRI  ASSAM,Public Works Building and NH Department,Civil Works - Building,Open Tender,1297400000.0,7,180,0,0,0,0,1,0,1,1,0.7709935677261436,34.75,🟡 Medium,Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_PWBNH_1584_1,2017_PWBNH_1584_1,Establishment of New Medical College attached with District Referral Hospital  at North Lakhimpur Assam,Public Works Building and NH Department,Civil Works - Building,Open Tender,1268900000.0,6,180,0,0,0,0,1,0,1,1,0.7650670294594691,34.66,🟡 Medium,Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_SSA_1077_1,2016_SSA_1077_1,E-Tender for Messenger Service and Maintenance of Office,Axom Sarba Siksha Abhijan Mission,Housekeeping/ Cleaning,Open Tender,2000000.0,1,90,1,0,0,0,0,1,1,0,0.24294286896470507,34.55,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing)
ocds-kjhdrl-2017_PWD_1592_2,2017_PWD_1592_2,Kamrup/RIDF-XXII/10,Public Works Roads Department,Civil Works,Open Tender,491700000.0,2,180,0,0,0,0,1,0,1,1,0.7100242595665425,33.83,🟡 Medium,Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_DoWR_918_1,2016_DoWR_918_1,Kollong-pk24,Department of Water Resources,Civil Works,Open Tender,37307.0,0,180,0,1,0,0,0,0,0,1,0.451006613577564,33.81,🟡 Medium,No bidders recorded (may be pre-awarded); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_NHM_1496_1,2016_NHM_1496_1,PROCUREMENT OF BOAT AMBULANCE,National Health Mission,Vehicles/Vehicle Spares,Open Tender,6000000.0,1,150,1,0,0,0,0,1,1,0,0.14759970207205575,33.12,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing)
