purchaser_name,matched_cin,matched_company_name,match_score,match_type
KAMLANG SAW & VENEER MILLS PVT LTD,U20211AS1994PTC011846,KAMLANG SAW AND VENEER MILLS PVT LTD,0.8,bond_purchaser_to_company
S D CORPORATION PVT LTD,U51909AS1990PTC003449,J S CORPORATION PRIVATE LIMITED,1.0,bond_purchaser_to_company
D S ENGINEERING WORKS LLP,U74210AS1965PTC001254,ELIMECH ENGINEERING WORKS PVT LTD,0.6667,bond_purchaser_to_company
D S ENGINEERING WORKS LLP,U27310AS1936PTC000472,EXCELSIOR ENGINEERING WORKS PVT LTD,0.6667,bond_purchaser_to_company
D S ENGINEERING WORKS LLP,U50200AS2004PTC007499,KAKOTY ENGINEERING WORKS PRIVATE LIMITED,0.6667,bond_purchaser_to_company
D S ENGINEERING WORKS LLP,U50200AS1959PTC001149,ASSAM ENGINEERING WORKS PVT LTD,0.6667,bond_purchaser_to_company
D S ENGINEERING WORKS LLP,U26945AS1950PTC000945,GENERAL ENGINEERING WORKS PVT LTD,0.6667,bond_purchaser_to_company
DESCENT BUILDWELL LLP,U45200AS2007PTC012393,DESCENT BUILDWELL PRIVATE LIMITED,1.0,bond_purchaser_to_company
INTERNATIONAL TRADING CORPORATION,U52399AS2009PTC009209,K.B. INTERNATIONAL TRADING PRIVATE LIMITED,0.6667,bond_purchaser_to_company
AMD ENGINEERING CONSULTANTS,U45400AS2013PTC011454,R B ENGINEERING & CONSULTANTS PRIVATE LIMITED,0.6667,bond_purchaser_to_company
GUWAHATI CARBON LIMITED,U23101AS1988PLC002915,GUWAHATI CARBON LIMITED,1.0,bond_purchaser_to_company
S R C CHEMICALS PVT LTD,U24117AS1997PTC004955,J. P. CHEMICALS PRIVATE LIMITED,1.0,bond_purchaser_to_company
PACIFICA INDIA PROJECTS PVT LTD,U55101AS2006PTC008066,M.H. PROJECTS (INDIA) PRIVATE LIMITED,0.6667,bond_purchaser_to_company
JMC PROJECTS INDIA LTD,U55101AS2006PTC008066,M.H. PROJECTS (INDIA) PRIVATE LIMITED,0.6667,bond_purchaser_to_company
CENTURY TEXTILES AND INDUSTRIES LTD,U17116AS1989PLC003215,ARENA TEXTILES AND INDUSTRIES LTD.,0.6,bond_purchaser_to_company
S K TRADING CO.,U01119AS1949PLC000901,KAMRUP TRADING CO LTD,0.6667,bond_purchaser_to_company
S K TRADING CO.,U15491AS1978PLC001744,ASSAM TRADING CO LTD,0.6667,bond_purchaser_to_company
S K TRADING CO.,U51909AS1996PTC004807,SONITPUR TRADING CO PVT LTD,0.6667,bond_purchaser_to_company
S K TRADING CO.,U51109AS1997PTC005023,PRITHVI TRADING CO. PRIVATE LIMITED,0.6667,bond_purchaser_to_company
