entity_id,entity_name,entity_type,source
U74999AS2021PTC026503,BHARAT CORES SOLUTIONS PRIVATE LIMITED,COMPANY,companies_registry
U74999AS2022OPC023788,SANSTHAPAN CONSULTING SERVICES (OPC) PRIVATE LIMITED,COMPANY,companies_registry
U74999AS2022PTC022690,CADIASH PHARMACEUTICALS PRIVATE LIMITED,COMPANY,companies_registry
U74999AS2022PTC023847,INTELWON MEDIA PRIVATE LIMITED,COMPANY,companies_registry
U74999AS2022PTC023907,MACHCONZ CONSULTANCY PRIVATE LIMITED,COMPANY,companies_registry
U31908AS1988PTC002875,MECHFAB ELECTRODES PVT LTD,COMPANY,companies_registry
U31909AS2002SGC006781,AMTRON INFORMATICS INDIA LIMITED,COMPANY,companies_registry
U62091AS2024PTC025840,UDAYADITYA TECHNOLOGIES PRIVATE LIMITED,COMPANY,companies_registry
U62200AS2019PTC019726,JETTWINGS AEROSPACE & AVIATION PRIVATE LIMITED,COMPANY,companies_registry
U01110AS2021PTC021858,DOIANG AGRO PRODUCER COMPANY LIMITED,COMPANY,companies_registry
U01111AS2023PTC025037,ALIPUKHURI FARMER PRODUCER COMPANY LIMITED,COMPANY,companies_registry
U01119AS1986PTC002614,BARAK PLANTATION PRIVATE LIMITED,COMPANY,companies_registry
U01122AS2007PTC008404,CREATIVE FRUIT PRODUCTS PRIVATE LIMITED,COMPANY,companies_registry
U01122AS2021PTC022343,KRIXHI PROJUKTI PRIVATE LIMITED,COMPANY,companies_registry
U74999AS2021PTC021193,SAFE AND SAFETY SERVICES PRIVATE LIMITED,COMPANY,companies_registry
U74999AS2021PTC021235,DOSHUL MOBILE INDIA PRIVATE LIMITED,COMPANY,companies_registry
U74999AS2022PTC023155,AIRLINK PAYMENT PRIVATE LIMITED,COMPANY,companies_registry
U74999AS2022PTC023341,FABULINUS AXOM PRIVATE LIMITED,COMPANY,companies_registry
L01132AS1970PLC001320,SONAI RIVER TEA CO LTD,COMPANY,companies_registry
L15491AS2009PLC009345,JAMES WARREN TEA LIMITED,COMPANY,companies_registry
L67120AS1971PLC001358,WILLIAMSON FINANCIAL SERVICES LIMITED,COMPANY,companies_registry
U01100AS2021PTC020934,CHALCHALI COCONUT PRODUCER COMPANY LIMITED,COMPANY,companies_registry
U01100AS2021PTC021576,CSC DARRANG KALAIGAON FARMER PRODUCER COMPANY LIMITED,COMPANY,companies_registry
U01100AS2021PTC021623,BHAIRAVCHURA FARMER PRODUCER COMPANY LIMITED,COMPANY,companies_registry
U01100AS2021PTC021718,AASHIRYA GREENS PRIVATE LIMITED,COMPANY,companies_registry
U01100AS2021PTC022283,ANCHALIK PRAGOTISHIL FISHERY PRODUCER COMPANY LIMITED,COMPANY,companies_registry
U01100AS2022PTC022467,UBUNTU NLP PRIVATE LIMITED,COMPANY,companies_registry
U01100AS2022PTC023180,PABHOI GREENS AGRO INDUSTRIES PRIVATE LIMITED,COMPANY,companies_registry
U01100AS2022PTC023492,FLO & FAU PRIVATE LIMITED,COMPANY,companies_registry
U01100AS2022PTC023977,DEROI AGRI HORTI 1 NO. HOLOGURI TOURISM PRODUCER COMPANY LIMITED,COMPANY,companies_registry
U01100AS2022PTC024046,KALAIN AGROFED FARMERS PRODUCER COMPANY LIMITED,COMPANY,companies_registry
U31900AS2012PTC011365,ASOM ENERGY & ENTERPRISES PRIVATE LIMITED,COMPANY,companies_registry
U62091AS2023PTC024963,PEASX TECHNOLOGY PRIVATE LIMITED,COMPANY,companies_registry
U62099AS2024PTC025936,GRAPHDB ASSAM TECHNOLOGIES PRIVATE LIMITED,COMPANY,companies_registry
U62099AS2025OPC027470,RECHTECH SOLUTIONS (OPC) PRIVATE LIMITED,COMPANY,companies_registry
U63010AS2014PTC011837,PAREEK ROADLINES PRIVATE LIMITED,COMPANY,companies_registry
U01113AS2024PTC026158,UDGAMITA ASOMI MAHILA FARMERS PRODUCER COMPANY LIMITED,COMPANY,companies_registry
U01122AS2023PTC024734,AGHUNI PRODUCER COMPANY LIMITED,COMPANY,companies_registry
U01132AS1928PTC000356,ABHOY JAN TEA CO PVT LTD,COMPANY,companies_registry
U74999AS2020PTC020714,INTERNATIONAL CONSUMER CONNECTIVITY PRIVATE LIMITED,COMPANY,companies_registry
U74999AS2022OPC022577,SURVEILLANT SECURITY SERVICES (OPC) PRIVATE LIMITED,COMPANY,companies_registry
U74999AS2022PTC023398,ARE INDIA TECHNOLOGY PRIVATE LIMITED,COMPANY,companies_registry
U26942AS1992PTC003647,HITECH MINERAL PRODUCTS PVT LTD,COMPANY,companies_registry
U26942AS1998PTC005486,BABA BHOLENATH CEMENT INDIA PVT LTD,COMPANY,companies_registry
