entity_id,company_name,cin,composite_risk_score,risk_tier,bid_pattern_score,shell_risk_score,political_score,financials_score,num_connections,requires_human_review
U15421AS1998PTC005421,PRAGATI ALUMS PVT LTD,U15421AS1998PTC005421,35.52,MEDIUM,0.0,79.17,0.0,78.65,1,True
U65992AS1973PTC001440,KAMAKHYA CHIT FUND CO PVT LTD,U65992AS1973PTC001440,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65992AS1974PTC001586,PRASANT CHIT & SAVINGS CO PVT LTD,U65992AS1974PTC001586,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65992AS1974PTC001495,DIANA CHIT & SAVINGS CO PVT LTD,U65992AS1974PTC001495,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65920AS1974PTC001514,AMBASSADOR CREDIT & INVESTMENT CO PVT LT D,U65920AS1974PTC001514,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U99999AS1987PTC002774,DEEP COMMERCIALS PVT LTD,U99999AS1987PTC002774,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U15311AS1955PTC001058,ASSAM FLOUR MILLS PVT LTD,U15311AS1955PTC001058,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65992AS1973PTC001437,EAST & WEST CHIT FUND PVT LTD,U65992AS1973PTC001437,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65191AS1974PTC001590,INCENTIVE SAVINGS & FINANCE PVT LTD,U65191AS1974PTC001590,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65992AS1973PTC001424,PURBALI CHIT FUND CO PVT LTD,U65992AS1973PTC001424,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65920AS1974PTC001534,DYNAMIC CREDIT & INVESTMENT CO PVT LTD,U65920AS1974PTC001534,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65920AS1974PTC001521,NOWGONG CREDIT & INVESTMENT CO PVT LTD,U65920AS1974PTC001521,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65992AS1974PTC001481,NABA ASOM CHIT FUND CO PVT LTD,U65992AS1974PTC001481,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U01132AS1979PTC001773,TIRU TEA PVT LTD,U01132AS1979PTC001773,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65191AS1974PTC001556,STERLING SAVINGS CO PVT LTD,U65191AS1974PTC001556,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U27203AS1981PTC001865,A & K ALUMINIUM INDUSTRIES PVT LTD,U27203AS1981PTC001865,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65920AS1974PTC001558,LIFE INVESTMENT & CREDIT CO PVT LTD,U65920AS1974PTC001558,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65920AS1974PTC001524,POLESTAR CREDIT & INVESTMENT CO PVT LTD,U65920AS1974PTC001524,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65191AS1975PTC001610,KOHAT SAVINGS & INVESTMENT PVT LTD,U65191AS1975PTC001610,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65191AS1974PTC001496,HINDUSTHAN SAVINGS CO PVT LTD,U65191AS1974PTC001496,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65191AS1974PTC001568,TRIO SAVINGS & FINANCING CO PVT LTD,U65191AS1974PTC001568,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65992AS1974PTC001557,MARIANI FINANCE & INVESTMENT CO PVT LTD,U65992AS1974PTC001557,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65191AS1974PTC001549,SWASTIKA SAVINGS & SERVICES PVT LTD,U65191AS1974PTC001549,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65920AS1974PLC001479,NAVARUPA CREDIT & INVESTMENT CO LTD,U65920AS1974PLC001479,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65920AS1974PTC001512,ARUNACHAL CREDIT & INVESTMENT CO PVT LTD,U65920AS1974PTC001512,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65920AS1974PTC001543,COLUMBIA CREDIT & INVESTMENT CO PVT LTD,U65920AS1974PTC001543,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65921AS1972PTC001366,JAYALAKSHMI FINANCE & HIRE PURCHASE CO P VT LTD,U65921AS1972PTC001366,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U65992AS1974PTC001578,BIJOYA CHIT & SAVINGS CO PVT LTD,U65992AS1974PTC001578,35.31,MEDIUM,0.0,77.5,0.0,79.68,1,True
U63040AS1977PTC001716,RAJHANS TRAVELS PVT LTD,U63040AS1977PTC001716,34.95,MEDIUM,0.0,76.39,0.0,79.24,1,True
U85199AS1987PTC002652,ASSAM PHYSIOTHERAPEAUTIC & MEDICAL RESEA RCH CENTRE PVT LTD,U85199AS1987PTC002652,34.95,MEDIUM,0.0,76.39,0.0,79.24,1,True
U72100AS1987PTC002699,RAVI FLOOR MILLS ASSAM PVT LTD,U72100AS1987PTC002699,34.95,MEDIUM,0.0,76.39,0.0,79.24,1,True
U67120AS1995PLC004385,HYDEX INVESTMENT LIMITED,U67120AS1995PLC004385,34.95,MEDIUM,0.0,79.17,0.0,75.8,1,True
U67120AS1994PLC004321,GOODAGE SECURITIES LTD,U67120AS1994PLC004321,34.95,MEDIUM,0.0,79.17,0.0,75.78,1,True
U72100AS1993PTC003848,A N STEELS PVT LTD,U72100AS1993PTC003848,34.95,MEDIUM,0.0,76.39,0.0,79.24,1,True
U70101AS1997PTC005088,JAGANNATH BUILDERS AND DEVELOPERS PVT LT D,U70101AS1997PTC005088,34.92,MEDIUM,0.0,76.39,0.0,79.13,1,True
U34300AS1987PTC002693,G B FORGINGS PVT LTD,U34300AS1987PTC002693,34.92,MEDIUM,0.0,76.39,0.0,79.13,1,True
U16009AS1999PTC005961,PRAGJYOTI PERFUMERS PRIVATE LIMITED,U16009AS1999PTC005961,34.88,MEDIUM,0.0,79.17,0.0,75.43,1,True
U29230AS1988PTC002923,VARUN ROADWAYS PVT LTD,U29230AS1988PTC002923,34.87,MEDIUM,0.0,76.39,0.0,78.87,1,True
U70101AS1984PTC002242,KISHORE INDIA PVT LTD,U70101AS1984PTC002242,34.87,MEDIUM,0.0,76.39,0.0,78.87,1,True
U16003AS2000PTC006224,OM VIGNESWARA TOBACCO PRIVATE LIMITED,U16003AS2000PTC006224,34.87,MEDIUM,0.0,76.39,0.0,78.87,1,True
U01132AS1982PTC001947,NORTH EAST LABORATORIES PVT LTD,U01132AS1982PTC001947,34.83,MEDIUM,0.0,76.39,0.0,78.65,1,True
U74210AS1988PTC002870,KAMAKHYA RUBBER INDUSTRIES PVT LTD,U74210AS1988PTC002870,34.8,MEDIUM,0.0,76.39,0.0,78.5,1,True
U24242AS1974PTC001539,BLUE HILLS CHEMICALS PVT LTD,U24242AS1974PTC001539,34.8,MEDIUM,0.0,76.39,0.0,78.5,1,True
U55204AS2016OPC017661,WRAPPETITE FOODWORKS (OPC) PRIVATE LIMITED,U55204AS2016OPC017661,34.76,MEDIUM,0.0,84.17,0.0,68.59,1,True
U23109AS1974PTC001466,BALAKA SAVINGS & FINANCE CO PVT LTD,U23109AS1974PTC001466,34.75,MEDIUM,0.0,76.39,0.0,78.26,1,True
U45309AS1988PTC003007,N.E.BUILDERS PVT LTD,U45309AS1988PTC003007,34.75,MEDIUM,0.0,76.39,0.0,78.26,1,True
U70101AS1994PTC004067,NN AGROCRAFTS PVT LTD,U70101AS1994PTC004067,34.69,MEDIUM,0.0,75.28,0.0,79.35,1,True
U05004AS1962PTC001195,FRONTIER MEDICAL & TRADING CO PVT LTD,U05004AS1962PTC001195,34.67,MEDIUM,0.0,75.28,0.0,79.24,1,True
U31101AS1988PTC003103,NORTH EASTERN MECHELECT SERVICES PVT LTD,U31101AS1988PTC003103,34.65,MEDIUM,0.0,75.28,0.0,79.13,1,True
U51397AS2007PTC008376,BOFFIN LABORATORIES PRIVATE LIMITED,U51397AS2007PTC008376,34.62,MEDIUM,0.0,74.72,0.0,79.68,1,True
U51109AS1972PLC001380,DIGANTA CHALACHITRA PRATISTHAN LTD,U51109AS1972PLC001380,34.62,MEDIUM,0.0,75.28,0.0,79.0,1,True
U45201AS2008PTC008798,HILLCONI CONSTRUCTION COMPANY PRIVATE LIMITED,U45201AS2008PTC008798,34.55,MEDIUM,0.0,74.44,0.0,79.68,1,True
U20101AS1964PLC001230,ASSAM & MEGHALAYA MINERAL DEVELOPMENT CORPN LIMITED,U20101AS1964PLC001230,34.52,MEDIUM,0.0,75.28,0.0,78.5,1,True
